Threads,Worst (ms),Best (ms),Average (ms)
1,4.595,0.043,0.544
2,9.537,0.041,1.026
3,0.759,0.044,0.125
4,0.160,0.046,0.097
5,15.025,0.050,0.092
6,0.192,0.041,0.086
7,1.333,0.043,0.190
8,0.828,0.042,0.151
9,4.648,0.040,0.713
10,1.520,0.043,0.201
11,0.127,0.043,0.062
12,3.412,0.039,0.695
13,0.152,0.046,0.098
14,0.166,0.041,0.063
15,3.317,0.058,0.398
