Threads,Worst (ms),Best (ms),Avg (ms)
1,20.292,19.81,19.874
2,22.009,21.185,21.352
3,24.308,22.372,23.138
4,45.676,41.09,42.808
5,59.317,52.627,56.252
6,72.798,66.27,69.531
