Threads,Worst (ms),Best (ms),Average (ms)
1,19.849,19.795,17.835
2,33.498,22.612,21.541
3,33.914,23.457,24.718
4,30.132,23.251,23.557
5,30.724,16.201,23.395
6,31.227,15.159,23.472
7,24.368,19.474,20.241
8,29.676,19.363,20.774
9,26.470,17.294,19.073
10,22.687,17.447,18.267
11,24.681,18.280,19.360
12,22.191,17.412,17.479
13,22.125,17.142,17.984
14,23.302,17.131,18.255
15,21.157,17.017,16.954
