Threads,Worst (ms),Best (ms),Avg (ms)
1,17.761,10.550,13.961
2,19.243,6.063,14.896
3,13.025,7.866,9.347
4,9.441,7.021,7.799
5,8.399,4.779,6.105
6,7.983,4.182,5.465
