Threads,Efficiency
2,188.436
3,262.997
4,336.095
5,405.246
6,498.009
7,255.403
8,290.636
9,321.270
10,349.346
11,342.522
12,252.027
13,253.494
14,260.623
15,276.271
16,280.807
