Threads,Worst (ms),Best (ms),Avg (ms)
1,235.991,199.267,228.592
2,122.152,103.073,108.909
3,88.024,74.750,78.038
4,112.985,60.071,69.401
5,67.875,52.233,55.408
6,63.103,46.778,50.309
7,90.155,71.579,80.145
8,91.345,72.966,81.106
9,89.567,72.796,78.944
10,86.759,66.946,77.469
11,69.992,58.715,64.936
12,70.166,57.873,63.941
13,71.982,61.444,65.671
14,74.243,59.837,66.371
15,77.941,60.935,68.071
16,80.313,54.876,68.961
