Threads,Worst (ms),Best (ms),Avg (ms)
1,499.248,431.222,459.209
2,257.225,237.457,245.032
3,180.530,165.432,168.214
4,148.186,115.985,133.355
5,129.553,73.595,85.248
6,104.411,65.312,71.456
7,158.262,110.935,129.591
8,133.366,105.686,117.986
9,142.629,105.495,121.618
10,165.884,107.841,133.218
11,129.326,110.557,122.165
12,142.852,107.335,123.322
13,142.937,105.457,120.236
14,124.710,98.102,112.524
15,138.806,104.562,117.812
16,140.985,103.912,121.052
