Threads,Worst (ms),Best (ms),Avg (ms)
1,19.941,19.600,19.677
2,15.069,14.919,14.955
3,12.703,12.499,12.543
4,10.679,9.469,9.645
5,9.129,7.917,8.121
6,8.931,6.828,7.057
7,7.936,6.849,7.119
8,7.315,6.888,6.983
9,7.223,6.799,6.990
10,9.895,6.870,7.265
11,7.738,6.739,7.112
12,7.239,6.885,6.957
13,10.677,6.327,7.297
14,9.120,6.908,7.571
15,8.764,6.885,7.408
16,8.537,6.906,7.195
