Threads,Worst (ms),Best (ms),Avg (ms)
1,19.943,19.640,19.694
2,15.022,14.913,14.946
3,12.600,12.501,12.532
4,10.678,7.092,9.499
5,9.152,8.015,8.162
6,10.848,4.508,7.494
7,10.341,6.900,7.568
8,9.443,6.871,7.294
9,12.310,6.249,7.752
10,8.703,6.196,6.864
11,7.370,6.850,7.088
12,7.795,6.889,7.162
13,8.342,6.951,7.319
14,10.299,6.911,7.504
15,7.690,6.902,7.168
16,7.978,6.910,7.303
