Threads,Worst (ms),Best (ms),Avg (ms)
1,19.679,19.607,19.633
2,28.381,28.099,28.163
3,19.386,18.973,19.174
4,14.777,14.137,14.411
5,12.072,11.509,11.717
6,10.820,9.641,9.846
7,9.459,8.171,8.437
8,7.895,7.327,7.561
9,10.572,9.479,10.220
10,11.654,9.329,9.942
11,10.578,8.336,9.858
12,9.725,8.878,9.620
13,9.196,8.817,9.066
14,10.760,8.404,8.821
15,11.832,7.800,8.502
16,9.154,8.384,8.679
