Threads,Worst (ms),Best (ms),Avg (ms)
1,19.838,19.616,19.688
2,28.381,26.082,27.541
3,21.991,15.668,19.050
4,14.548,12.027,14.154
5,11.888,11.565,11.653
6,10.999,9.611,9.827
7,9.956,7.280,8.681
8,12.097,6.027,8.298
9,10.528,10.137,10.257
10,11.752,9.225,9.671
11,15.993,10.375,10.964
12,9.985,8.525,9.578
13,12.541,8.977,9.369
14,9.779,8.352,8.601
15,10.321,7.112,8.012
16,11.076,8.566,8.900
