Threads,Worst (ms),Best (ms),Avg (ms)
1,19.948,19.637,19.695
2,19.833,19.652,19.683
3,19.814,19.663,19.701
4,19.861,19.647,19.684
5,19.817,19.642,19.688
6,19.820,19.606,19.647
7,19.963,19.643,19.692
8,19.976,19.644,19.687
9,20.008,19.634,19.695
10,19.971,19.659,19.697
11,20.073,19.658,19.716
12,20.127,19.656,19.720
13,20.195,19.654,19.734
14,20.114,19.653,19.741
15,20.128,19.677,19.742
16,20.009,19.655,19.730
