Threads,Worst (ms),Best (ms),Avg (ms)
1,19.688,19.618,19.634
2,19.767,19.622,19.644
3,19.757,19.622,19.652
4,19.786,19.630,19.660
5,19.790,19.624,19.658
6,19.779,19.624,19.663
7,54.841,19.612,23.158
8,52.555,19.634,22.944
9,52.442,19.648,22.938
10,56.225,19.631,23.304
11,56.261,19.657,23.326
12,56.300,19.648,23.328
13,56.228,19.650,23.339
14,52.897,19.676,23.014
15,56.273,19.613,23.429
16,54.953,19.728,23.324
