Threads,Worst (ms),Best (ms),Avg (ms)
1,19.704,19.645,19.668
2,27.754,27.591,27.696
3,18.934,18.620,18.822
4,17.072,15.669,16.097
5,15.908,13.577,15.033
6,11.066,9.613,9.961
7,17.094,11.147,13.702
8,18.527,10.737,13.735
9,21.754,17.030,19.243
10,22.711,18.006,21.084
11,22.363,16.192,20.618
12,24.105,16.283,22.101
13,21.608,18.526,19.852
14,24.582,21.042,22.694
15,29.753,20.486,24.243
16,22.038,16.241,18.110
