Threads,Worst (ms),Best (ms),Avg (ms)
1,48.880,48.734,48.785
2,197.624,174.155,177.368
3,208.903,202.242,203.991
4,247.601,245.405,246.262
5,198.808,192.162,193.238
6,183.763,175.502,177.942
7,184.409,176.472,177.940
8,194.931,175.354,180.151
9,183.553,175.603,178.052
10,191.147,175.904,178.998
11,186.492,176.182,180.761
12,189.333,176.852,180.210
13,184.508,176.581,179.235
14,188.615,176.330,179.924
15,188.476,176.650,180.960
16,190.784,176.258,179.245
