Threads,Worst (ms),Best (ms),Avg (ms)
1,19.874,19.641,19.701
2,14.837,14.653,14.685
3,11.817,11.719,11.739
4,9.941,8.259,9.296
5,8.235,8.039,8.114
6,7.293,6.528,6.907
7,7.256,6.915,6.990
8,7.130,6.906,6.952
9,7.939,6.893,7.157
10,7.453,6.929,7.049
11,7.084,6.943,6.994
12,7.214,6.937,7.032
13,7.141,6.879,6.982
14,11.257,6.582,7.384
15,8.781,7.017,7.344
16,8.752,7.030,7.268
