Threads,Worst (ms),Best (ms),Avg (ms)
1,19.330,16.802,17.139
2,62.424,36.589,44.068
3,51.133,34.675,46.368
4,50.822,46.207,49.467
5,47.845,28.258,38.213
6,38.032,28.972,36.056
7,39.204,38.642,38.899
8,38.150,27.782,30.803
9,39.095,28.053,34.644
10,39.155,28.742,32.566
11,39.008,27.116,35.077
12,38.833,28.196,33.147
13,37.431,27.920,31.642
14,38.059,26.775,32.355
15,39.628,26.119,31.594
16,39.540,26.731,33.370
