Threads,Worst (ms),Best (ms),Avg (ms)
1,19.962,19.628,19.760
2,20.107,19.653,19.809
3,19.818,19.650,19.682
4,19.842,19.665,19.700
5,19.791,19.647,19.681
6,19.833,19.637,19.674
7,55.143,19.633,23.205
8,51.758,19.655,22.871
9,51.158,19.651,22.808
10,56.223,19.642,23.318
11,56.424,19.654,23.375
12,56.453,19.645,23.336
13,56.406,19.649,23.346
14,56.500,19.655,23.451
15,56.290,19.664,23.340
16,56.241,19.671,23.400
