Threads,Worst (ms),Best (ms),Avg (ms)
1,19.655,19.612,19.632
2,28.304,28.194,28.214
3,19.365,18.982,19.143
4,14.513,14.369,14.418
5,12.823,11.561,11.796
6,9.972,9.689,9.770
7,9.886,8.361,8.735
8,9.680,7.561,8.002
9,13.284,8.744,10.516
10,11.579,7.671,9.475
11,10.578,8.870,10.317
12,10.229,9.714,9.833
13,12.267,8.728,9.378
14,8.878,8.356,8.552
15,9.065,7.713,8.062
16,8.852,8.441,8.600
