Threads,Worst (ms),Best (ms),Avg (ms)
1,19.913,19.619,19.679
2,14.997,14.735,14.922
3,12.570,12.498,12.518
4,11.083,9.457,9.765
5,9.129,7.294,8.150
6,8.932,6.826,7.073
7,9.302,6.783,7.305
8,7.316,6.860,7.010
9,10.356,6.864,7.385
10,8.359,6.784,7.291
11,8.144,6.052,7.013
12,9.059,6.333,7.150
13,8.518,6.882,7.230
14,8.293,6.884,7.287
15,9.273,6.892,7.777
16,7.931,6.908,7.234
