Threads,Efficiency
2,117.786
3,146.755
4,176.680
5,208.818
6,228.089
7,225.699
8,199.339
9,198.290
10,208.625
11,213.955
12,219.350
13,222.479
14,232.068
15,232.425
16,221.065
