Threads,Worst (ms),Best (ms),Average (ms)
1,19.900,19.817,17.862
2,42.859,40.837,37.278
3,50.059,44.424,42.660
4,52.035,43.727,42.919
5,58.344,42.981,45.796
6,53.142,39.694,42.924
7,45.230,36.922,38.255
8,45.749,33.899,35.596
9,39.392,30.171,31.067
10,39.409,31.385,31.160
11,38.105,28.010,30.749
12,36.221,31.403,30.760
13,38.351,31.012,30.342
14,36.418,28.621,28.893
15,37.433,27.552,29.362
