Threads,Worst (ms),Best (ms),Average (ms)
1,0.002,0.001,0.002
2,9.998,5.766,8.020
3,11.134,6.578,9.233
4,10.718,3.068,5.316
5,5.886,2.441,3.891
6,9.788,2.042,3.456
7,10.763,9.866,9.398
8,10.769,9.885,9.268
9,11.837,9.448,9.214
10,11.487,8.788,9.072
11,11.190,9.117,8.990
12,10.510,8.981,8.941
13,10.794,9.604,9.127
14,11.064,9.573,9.228
15,11.147,8.598,8.943
