Threads,Worst (ms),Best (ms),Avg (ms)
1,5.183,3.877,4.523
2,4.461,2.826,3.840
3,3.331,2.947,3.082
4,5.354,2.171,2.560
5,2.405,1.897,2.166
6,2.668,1.683,1.983
7,2.321,1.803,2.004
8,2.510,1.984,2.269
9,2.443,2.140,2.281
10,2.356,1.918,2.168
11,2.464,1.882,2.114
12,2.167,1.949,2.062
13,2.574,1.804,2.033
14,2.174,1.762,1.949
15,2.197,1.694,1.946
16,2.238,1.880,2.046
