Threads,Efficiency
2,76.562
3,104.816
4,137.756
5,174.327
6,205.929
7,236.377
8,252.706
9,192.563
10,197.935
11,198.270
12,206.313
13,221.634
14,227.918
15,249.169
16,226.545
