Threads,Worst (ms),Best (ms),Avg (ms)
1,19.669,19.624,19.640
2,42.826,39.693,41.250
3,51.510,38.127,45.283
4,52.404,37.537,45.838
5,58.128,38.988,47.181
6,61.771,39.317,48.284
7,43.993,28.053,37.149
8,46.673,27.772,35.914
9,41.123,26.375,36.098
10,41.522,29.364,37.344
11,43.957,29.642,38.932
12,44.474,32.351,41.441
13,44.676,35.144,42.205
14,45.896,37.483,42.667
15,47.589,39.501,41.569
16,43.230,34.628,40.824
