Threads,Worst (ms),Best (ms),Average (ms)
1,41.947,36.468,34.044
2,43.576,36.424,33.618
3,67.248,36.530,40.301
4,55.357,36.480,38.265
5,64.554,36.503,40.650
6,55.822,36.436,34.529
7,64.851,36.443,36.110
8,65.826,36.402,39.380
9,51.229,36.473,35.590
10,67.824,36.467,38.969
11,67.450,36.475,38.952
12,45.514,36.510,35.168
13,57.956,36.537,39.164
14,45.505,36.449,35.211
15,57.345,36.654,40.633
