Threads,Worst (ms),Best (ms),Average (ms)
1,118.551,75.347,72.029
2,85.415,75.371,69.489
3,88.530,75.382,69.643
4,103.550,75.175,73.904
5,102.593,75.700,77.284
6,96.699,75.422,72.908
7,95.809,75.736,73.228
8,103.108,75.451,72.805
9,94.375,75.602,71.579
10,92.388,75.716,71.333
11,95.981,75.519,73.927
12,98.642,75.382,72.243
13,77.033,75.659,68.711
14,102.458,75.752,73.507
15,94.258,75.685,75.664
