Threads,Worst (ms),Best (ms),Average (ms)
1,200.988,181.877,169.112
2,251.304,211.246,218.132
3,302.101,267.401,261.718
4,380.103,317.140,305.211
5,446.790,343.731,352.469
6,485.689,390.503,369.724
7,427.532,377.357,361.644
8,363.058,287.279,299.772
9,345.315,273.310,269.032
10,314.011,256.907,261.745
11,333.050,244.783,262.792
12,340.609,263.061,265.411
13,343.141,244.994,262.646
14,343.810,216.392,243.462
15,319.837,217.607,230.248
