Threads,Worst (ms),Best (ms),Average (ms)
1,353.263,335.454,309.887
2,419.523,367.760,368.250
3,469.307,452.142,415.460
4,504.915,473.826,445.407
5,611.384,512.987,496.891
6,670.662,567.426,555.355
7,699.995,575.029,565.961
8,633.664,501.487,498.846
9,547.310,490.611,466.608
10,519.856,459.499,430.922
11,519.321,441.315,430.422
12,583.958,422.542,452.540
13,528.407,431.499,441.345
14,636.674,404.158,463.618
15,529.939,408.401,426.899
