Threads,Worst (ms),Best (ms),Avg (ms)
1,361.965,329.576,341.787
2,215.295,173.909,182.880
3,149.449,122.645,128.563
4,139.223,94.680,101.410
5,122.291,76.813,83.505
6,79.306,65.699,69.429
