Threads,Efficiency
2,88.626
3,114.547
4,152.831
5,186.881
6,236.707
7,263.194
8,285.938
9,217.662
10,221.137
11,219.481
12,230.139
13,239.358
14,255.254
15,249.742
16,256.240
