Threads,Efficiency
2,122.323
3,146.799
4,161.587
5,173.543
6,181.477
7,165.208
8,148.703
9,151.172
10,158.201
11,154.030
12,164.856
13,161.334
14,160.998
15,156.364
16,156.680
