Threads,Worst (ms),Best (ms),Average (ms)
1,0.002,0.001,0.002
2,5.580,3.108,3.540
3,5.683,2.372,3.574
4,4.379,1.983,2.542
5,8.446,1.943,2.736
6,10.633,1.894,5.014
7,9.004,6.906,7.923
8,9.120,8.197,7.809
9,8.799,7.340,7.367
10,8.938,7.098,7.603
11,9.046,6.655,7.084
12,9.827,7.167,7.452
13,9.230,8.005,7.605
14,8.832,7.627,7.426
15,9.304,7.981,7.940
