Threads,Worst (ms),Best (ms),Avg (ms)
1,17.991,10.843,12.607
2,21.187,5.754,14.225
3,13.992,9.890,11.006
4,11.692,7.333,8.249
5,9.621,6.196,6.746
6,6.054,5.114,5.326
7,5.706,4.313,4.790
8,5.361,4.183,4.409
9,7.097,5.273,5.792
10,6.636,4.920,5.701
11,7.172,4.707,5.744
12,6.987,5.271,5.478
13,6.729,4.959,5.267
14,5.939,4.640,4.939
15,6.634,4.367,5.048
16,6.704,4.390,4.920
